Finish,Category,Type,Manufacturer
Bexhill Red,Exterior,Bricks,Ibstock
Sensation Light Taupe 42oz,Flooring,Carpet,Cormar Carpets
Grooved Pewter D 128mm HPK 672,Ironmongery,Handles,Symphony
Dark Ash,Worktop,Laminate,Symphony
New Media Single Lever in Chrome AT1180,Tap,Mixer,Abode
Pure Brilliant White,Wallcovering,Paint,Dulux
Pure Brilliant White Satinwood,Woodwork,Paint,Dulux
Double HP 20 Vallée De Chevreuse,Exterior,Roof Tiles,Imerys
Andano 340/180-U 1.5 Bowl BL467038,Sink,Stainless Steel,Blanco
Japan Blanco 44.3 x 44.3cm Floor Tiles,Flooring,Tiles,Porcelanosa Group
Madagascar Blanco 20 x 33.3cm Wall Tiles,Wallcovering,Tiles,Porcelanosa Group
Cranbrook Sage,Cabinet,Units,Symphony
Hacienda Ivory,Cabinet Units,Symphony
Novilon Viva Fusion Patina 6507,Flooring,Vinyl,Forbo
